count,asn_no,asn_org
176,9976,"Namincheon Brodcasting Co., Ltd."
176,399629,BLNWX
174,30148,SUCURI-SEC
174,213250,ITP-Solutions GmbH & Co. KG
174,9770,LG HelloVision Corp.
174,52000,MIRholding B.V.
170,32780,HOSTINGSERVICES-INC
168,139341,ACE
167,6400,"Compañía Dominicana de Teléfonos, C. por A. - CODETEL"
167,50266,T-Mobile Thuis BV
167,51852,Private Layer INC
166,22903,EDGE-HOSTING
164,23467,NEWRELIC-AS-1
164,63295,ORCL-CHICAGO1
164,7738,V tal
164,213038,Dream Vps Ltd
163,2856,British Telecommunications PLC
161,38113,KUMC
158,9269,Hong Kong Broadband Network Ltd.
158,7,The Defence Science and Technology Laboratory
158,58212,dataforest GmbH
153,198187,Studio WIK Sp. z o.o.
152,211376,Kaan Girgin
152,12586,GHOSTnet GmbH
152,56740,DataHata Ltd
151,1680,Cellcom Fixed Line Communication L.P
151,202973,Partner LLC
150,24875,NovoServe B.V.
150,7483,"Skycloud Computing co., Ltd."
149,23584,"PUSAN CABLE TV SYSTEM CO., LTD."
149,134762,CHINANET Liaoning province Dalian MAN network
148,9781,GREEN CABLE TELEVISION STATION
148,212531,UAB Interneto vizija
148,136188,"NINGBO, ZHEJIANG Province, P.R.China."
146,7713,PT Telekomunikasi Indonesia
146,11572,SS-ATL
144,51847,Nearoute Limited
144,9824,"JCOM Co., Ltd."
143,266444,3L CLOUD INTERNET SERVICES LTDA - EPP
142,57494,Adman LLC
142,198301,Workday Limited
140,9943,KangNam CableTV
140,200313,IT WEB LTD
140,12874,Fastweb
139,12389,Rostelecom
138,26548,PUREVOLTAGE-INC
138,9697,LG HelloVision Corp.
137,8167,V tal
137,38684,"CMB Daejeon Broadcasting Co,.Ltd"
135,34296,Millenicom GmbH
135,2527,Sony Network Communications Inc.
135,38719,Dreamscape Networks Limited
135,59642,UAB Cherry Servers
134,20857,Signet B.V.
134,17573,SK Broadband Co Ltd
134,23969,TOT Public Company Limited
133,62240,Clouvider Limited
132,24806,"INTERNET CZ, a.s."
131,4538,China Education and Research Network Center
130,207134,"Phoenix Nap, LLC."
129,49335,LLC Server v arendy
129,46562,PERFORMIVE
129,8048,"CANTV Servicios, Venezuela"
127,32244,LIQUIDWEB
127,208046,ColocationX Ltd.
126,7562,HCN Dongjak
126,54290,HOSTWINDS
125,149020,WebHorizon Internet Services
124,42708,GleSYS AB
124,45430,SBN-IIGAWN-IIG transit provider
123,719,Elisa Oyj
123,203394,Mdcloud Ltd
123,63023,AS-GLOBALTELEHOST
122,50113,NTX Technologies s.r.o.
122,202448,MVPS LTD
122,5617,Orange Polska Spolka Akcyjna
121,137441,Techrep Services PTY LTD
120,201106,Spartan Host Ltd
120,212219,Talha Bogaz
120,63473,HOSTHATCH
119,133296,Web Werks India Pvt. Ltd.
119,31732,Parsun Network Solutions PTY LTD
119,43624,Pq Hosting S.r.l.
119,6849,JSC Ukrtelecom
118,6849,PJSC Ukrtelecom
118,4694,IDC Frontier Inc.
117,17623,China Unicom Shenzen network
117,48282,Hosting technology LTD
116,60423,E-Money Net Developers 24 Company Private Joint Stock
116,8560,1&1 Internet SE
116,32244,"Liquid Web, L.L.C"
115,33070,RMH-14
114,23563,SK Broadband Co Ltd
113,41745,Baykov Ilya Sergeevich
113,57910,"Soluciones Corporativas IP, SL"
113,9946,KCTV JEJU BROADCASTING
111,48161,Nextgen Communications Srl
110,7679,"QTnet,Inc."
110,42532,SIA VEESP
110,17974,PT Telekomunikasi Indonesia
109,55990,Huawei Cloud Service data center
108,17864,SK Broadband Co Ltd
108,58192,Atis Omran Sevin PSJ
108,200,CENTURYLINK-LEGACY-LVLT-200
107,15395,Rackspace Ltd.
107,8068,MICROSOFT-CORP-MSN-AS-BLOCK
107,140096,"JINX CO., LIMITED"
106,36903,MT-MPLS
106,9488,Seoul National University
106,15879,KPN Internedservices B.V.
106,61317,Digital Energy Technologies Ltd.
106,13489,EPM Telecomunicaciones S.A. E.S.P.
105,3352,Telefonica De Espana S.a.u.
105,254,TWG-NET-AS
105,52308,AGUAS DEL COLORADO SAPEM
104,199058,Serva One Ltd
103,208555,Dade Pardazi Mobinhost Co LTD
103,62,CONE
103,42910,PremierDC Veri Merkezi Anonim Sirketi
102,34300,Internet-Cosmos LLC
102,53831,SQUARESPACE
102,30083,AS-30083-GO-DADDY-COM-LLC
102,8685,Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S.
101,59729,ITL LLC
101,15,NET-DYNAMICS-EXP
100,12670,Completel SAS
100,4788,"TM Net, Internet Service Provider"
100,48314,IP-Projects GmbH & Co. KG
99,10054,CMB Kwangju Broadcasting
99,20278,NEXEON
98,207957,Sevasteev Artem Nikolaevich
98,47674,"Net Solutions - Consultoria Em Tecnologias De Informacao, Sociedade Unipessoal LDA"
97,209836,Toesegaran Shabakeh Arseh Novin Ltd
97,17577,LG HelloVision Corp.
97,200740,First Server Limited
97,2514,"NTT PC Communications, Inc."
97,60117,Host Sailor Ltd
97,8972,Host Europe GmbH
97,50837,Cloudsigma Ag
96,38109,SK Broadband Co Ltd
95,17857,SK Broadband Co Ltd
95,781,Renater
95,17854,SK Broadband Co Ltd
95,3269,Telecom Italia
95,25255,Hutchison Drei Austria GmbH
95,57935,Nrp Teknoloji Limited Sirketi
95,21100,ITL LLC
94,211440,"Karolio IT paslaugos, UAB"
92,58329,servinga GmbH
92,49532,Eonix Corporation
91,47331,Turk Telekom
91,58262,Negah Roshan Pars Company (PJS)
90,35916,MULTACOM CORPORATION
90,149440,Evoxt Enterprise
90,133973,Net Connect Wifi Pvt Ltd
89,7922,"Comcast Cable Communications, LLC"
89,39572,DataWeb Global Group B.V.
89,6,BULL-HN
89,44901,Belcloud LTD
88,16125,UAB Cherry Servers
88,393676,ZENEDGE
88,206,CSC-IGN-AMER-AS206
87,61424,eServer s.r.o.
87,54641,IMH-IAD
87,7473,Singapore Telecommunications Ltd
87,201916,PaySend Processing LLC
86,32133,AS-TING-BACKBONE
86,29422,Telia Inmics-Nebula Oy
86,51961,"Standart AG, LLC"
86,9756,SK Broadband Co Ltd
86,209968,Kew Solutions Unipessoal Lda
85,24679,Hostway Deutschland GmbH
85,47447,23M GmbH
85,211025,Opto-tech Grzegorz Wroblewski
85,54825,"Packet Host, Inc."
85,20141,QTS-SUW1-ATL1
85,24086,Viettel Corporation
84,57044,JSC ER-Telecom Holding
84,543,HP-POLYCOM
84,212238,Datacamp Limited
84,19318,IS-AS-1
84,49223,Everest Tv And Radio Company LLC
84,9569,"SEOCHO CABLE SYSTEMS CO., LTD."
84,210531,Stallion Network Services Limited
83,45146,PT. Raja Sepadan Abadi
83,17870,Kyung Hee University
83,57037,MKQ Internetservice
83,25697,UPCLOUDUSA
82,12695,LLC Digital Network
82,290,SHOWNET-AS
81,25820,IT7 Networks Inc
81,101,WASH-NSF-AS
81,4811,China Telecom Group
81,17608,ABN
81,8452,TE-AS
80,27357,Rackspace Hosting
80,136188,Diqing
80,45361,Ulsan Jung-Ang Broadcasting Network
80,203363,Kuroit Limited
80,59711,HZ Hosting Ltd
80,39729,Register S.p.A.
79,131090,"CAT TELECOM Public Company Ltd,CAT"
79,60154,"Connectria, LLC"
79,4192,STORTEK-INT
79,204957,Green Floid LLC
79,6134,XNNET
78,200773,Informatica Fuentealbilla S.l.
78,701,UUNET
78,39493,CJSC Kolomna-Sviaz TV
78,56041,China Mobile communications corporation
77,139057,LEGEND DYNASTY PTE. LTD.
77,29550,Simply Transit Ltd
77,969,MISAKA3
77,21499,Host Europe GmbH
77,10103,HK Broadband Network Ltd.
77,24971,Master Internet s.r.o.
77,12322,Free SAS
77,136800,ICIDC NETWORK
76,142111,Zhejiang Aiyun Network Technology Co Ltd
76,61390,Garant-G Ltd.
76,51395,Datasource AG
76,29097,Hostpoint AG
76,202029,Taknet Afzar Aftab PJSC
76,11664,Techtel LMDS Comunicaciones Interactivas S.A.
75,15570,Unitas Global Ltd
75,1239,SPRINTLINK
75,45187,Rackspace IT Hosting AS IT Hosting Provider Hong Kong
75,202602,365 Online Technology Joint Stock Company
75,55286,SERVER-MANIA
74,42337,Respina Networks & Beyond PJSC
74,211409,Shelter LLC
74,137443,Anchnet Asia Limited
73,8622,Namesco Limited
73,133380,Layerstack Limited
73,17439,Netmagic Datacenter Mumbai
73,207108,Ah Cloud Ltd
73,764,Prime Ministers Office
72,208951,Itglobal.com Nl B.v.
72,44094,Webhost LLC
72,55002,DEFENSE-NET
72,138195,MOACK.Co.LTD
72,17816,China Unicom IP network China169 Guangdong province
71,32613,iWeb Technologies Inc.
71,35995,TWITTER
71,61272,"Informacines sistemos ir technologijos, UAB"
71,51430,AltusHost B.V.
71,44493,Chelyabinsk-Signal LLC
71,7203,LEASEWEB-USA-SFO
70,57511,Innovative Telecom Systems FZE
70,207907,NSQ Venture (M) SDN BHD
70,12599,Atlas On-line
70,5384,Emirates Telecommunications Group Company (etisalat Group) Pjsc
69,7922,COMCAST-7922
69,25274,Naracom Kft.
69,36943,Gridhost
69,209,"CenturyLink Communications, LLC"
69,5089,Virgin Media Limited
69,36444,NEXCESS-NET
69,51765,Oy Crea Nova Hosting Solution Ltd
69,264668,NEDETEL S.A.
68,200185,Aruba SAS
68,18313,LG HelloVision Corp.
68,39287,ab stract
68,9145,EWE-Tel GmbH
68,3301,Telia Company AB
68,199669,Okay-Telecom Ltd.
68,139471,HWA CENT TELECOMMUNICATIONS LIMITED
68,40021,CONTABO
68,12179,INTERNAP-2BLK
68,5690,VIANET-NO
68,25229,Volia
67,62282,UAB Rakrejus
67,49666,Telecommunication Infrastructure Company
67,34762,Combell NV
67,8473,Bahnhof AB
67,55799,IPTELECOM ASIA
66,174,Cogent Communications
